weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
2013-06-02,12.6760521163898,1.76574980828261,10.0365148186684,9.75116465772901,13.1708592956974,18.4345148645696,4.86624542304448,9.40690830243485,14.8895374117153,12.6012318754303,17.534543373755,0.013627187481948,17.9935107716492,10.0959331904139,18.577815583774,19.5779709844362,14.6342519314161,8.90444008708,9.07790558040142,15.9168284343822,12.5948978470904,22.0692033483869,14.0691506245307,12.4655171249594,15.0605891913176,18.7764663469224,3.54959438443184,12.5200169192893,8.93069545924664,15.7933454494391,18.5257518632071,14.1042712586267,13.3757114353634,10.5926930138043,9.26481013212885,10.502271260534,19.9060918263027,19.3803190333503
2013-06-09,15.2004665753671,6.63197906344893,2.28522825773273,2.56358470235552,1.70923312788918,1.16136008217221,1.55320335711752,6.35496046606983,1.44317134044,0,3.63244969929968,1.4601680533517,6.78980386938368,1.17747955982174,23.6391545502203,1.94683094109808,10.0019367840141,9.44544088329588,0.825952006237847,0.438269550246852,0.155745440295764,0.770219987347012,0.003351553742375,0.483181359157676,0.042221277100699,13.9411487664495,2.28590909796102,9.7047319291603,4.26716313511133,0.0073703118733,1.90178268296378,0.088456571102142,0.817936206147784,0,18.5632459421953,0.227402035679136,0.590614250728062,0
2013-06-16,2.95587648983513,6.41036334710698,3.50779149149145,2.18707646642412,2.59368526367914,1.71506974242982,1.25447896974427,0.360911806779248,2.06348038368991,0.819859204547746,3.87646431369441,2.1013776031988,0.651574682976518,2.78677474388054,4.082207392369,1.57588750265893,1.1774831778769,0.176886301806995,3.90797935639109,1.49978800330843,0.556427947112492,1.47049809211776,0.638984446014677,1.03926830348514,0.492700547831399,1.72039110178039,1.86976798049041,0.182068873019445,1.18025749921799,1.34307358648096,1.39307190690722,0.130526461771556,0.40047295888265,1.17705593364579,2.15646190302713,1.4454557299614,0.498182603291103,0.139122833098684
2013-06-23,8.34824198910168,3.42275859309094,4.06154245484088,1.87081842230899,5.13596493999163,1.15507390882288,4.19744605677469,6.0335263785507,2.33588752491134,9.31847131465163,3.34823915043047,3.45356016215824,11.6071786897523,3.59981502592564,7.79914998156684,0.907381549832367,7.36891171708703,6.84461341074535,3.89620717082705,6.84657893649169,0.702354388577597,2.1384135261178,8.4171750228852,0.544216224125453,8.0123843769942,8.99040586323965,2.35010503530502,7.53801162753786,4.4209626122777,2.02809939278024,0.900774002075195,7.64512716340167,6.86815748647565,5.75214527618317,9.01558423609961,3.03842580265233,0.255073973110744,0.065669447183609
2013-06-30,25.4696441207613,5.87130428649603,8.81290552339384,8.34188382753304,15.5242115741684,16.028363059674,10.8100373340505,13.685547616865,5.59641380693231,15.3371924353497,7.97991599036115,9.61870908169519,22.4458101647241,15.8021286960159,23.7847231456212,10.5438195679869,23.5835975089243,16.80344288264,11.9331235183137,9.24205928615161,12.3472788291318,11.2650162038349,15.4306881736432,11.1315340215252,13.1677345422762,22.0381346316565,8.85214917319162,24.5482369008518,11.6724308202309,12.7616242864302,10.7928545304707,8.97678194301469,9.28662453059639,14.496381189142,23.1546905949002,10.987146283899,10.274724653789,9.75808752434594
2013-07-07,27.6139892978328,1.9186726887193,7.68582262630974,6.19021450195994,8.86439685026805,4.7038943313417,3.99905169861657,3.66578279488853,1.28405885142939,5.17777766021235,4.67996295488307,1.63179817760275,8.73294323767935,8.00245080675398,34.4101814031601,4.69898230830828,12.8107078690082,5.15096675327846,7.76362625828811,2.31847908454282,1.35177781965051,2.37545427502621,10.8337825691061,2.47374541560809,8.46609344610146,16.391173455332,2.995865884849,6.23944962947142,4.24959544464946,4.97580082501684,4.10211110966546,3.22704853117466,4.16213986987159,3.04655190805594,18.0909254976681,1.94520428989615,2.81587918315615,1.78651993721724
2013-07-14,38.4088185897895,4.3854920667197,4.05259999419962,10.2276532543557,4.27964354696728,3.61941222988424,5.68749592772552,9.43490207142064,3.57932882734707,9.58097746223211,8.51511852443218,8.07039910554886,14.1313671035426,7.92514554091862,49.1632552423647,10.1443194505714,15.9146699905396,12.4303527491433,5.97712161711284,6.27932990874563,6.57709546653288,4.55547165870666,9.71955180381026,9.40725084713527,12.2560757841383,25.5802387737093,3.50424316057137,10.6708931028843,8.94424262057458,3.87931062153408,10.9034747013024,12.5034190246037,5.88523978739977,6.63355904675666,34.8354284876869,7.50371053282704,3.70230158737728,3.52038919499942
2013-07-21,17.6638334883111,8.87686145796426,1.55154048811112,0.009039412651743,2.00883715493338,0.21323262935593,1.89563068321773,1.74619136564434,0.459902863949537,1.88325391017965,0.940307492656367,1.44977342585723,2.03523866789682,1.19464359911425,26.0297610078539,0.211114747183663,5.69100210868887,4.21902169031756,1.39262127237661,0.800687668578965,0.577032173318522,0.329505565620604,3.50253974859204,0.245423507122766,2.51628263337272,7.46241743507839,0.128092175083501,1.18340970646767,0.572186388075352,0.332108132754053,0.188141192708697,0.462202617100307,1.31675576737949,0.486462329115186,18.7191122578723,0.057768778077194,0.393455335072109,0.354914503438132
2013-07-28,5.38169482776097,7.98497126334243,3.99562882312707,7.79566764831543,3.72413326019332,1.86180437107881,3.40238182459559,2.03578811883926,2.63641058738743,1.54754734465054,5.93328462275011,9.37213560796919,5.77244199642113,6.01905671826431,4.19836016212191,4.50505554959888,5.65256333138262,2.23208788463048,5.29372506801571,3.19645025900432,1.53624413268907,2.20818609283084,1.59081601830465,2.19733150516238,2.36311479125704,6.7218331318526,5.42624681208815,3.52273532748222,3.93057657033205,1.65265146195889,4.70332905224391,2.47484814269202,2.04348833929925,3.75452406065805,4.48399097862698,1.4112543394523,2.03362808908735,1.83359378576279
2013-08-04,2.79370083340577,7.52678995212865,5.05684392154217,1.5367986724845,2.93504032528117,1.7328492686862,2.481282217162,1.73634805051344,2.78155948445201,0.361209804458277,5.78929236424821,1.88956978917122,1.59432771716799,3.16273065975734,1.33257185242006,2.70201776850791,2.39588608805622,2.85010767919677,7.05659449100494,0.815928433090448,4.29416389763355,3.18838078847953,0.100939563608595,1.80691551594507,0.178810035756656,1.87280862565552,3.1729163135801,1.42463454462233,1.61161926388741,1.28925403526851,2.62440473692758,0.179072303431375,0.210443667003087,0.74962500163487,7.29303127101489,1.29526042033519,2.40406999417714,2.7085827759334
