,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
22,1979-06-10,62.055656,33.19579,50.00254,47.80547,52.82402,39.357944,38.96088,50.855396,35.02135,43.346256,46.98655,32.7899,60.68158,52.284332,66.456665,45.216,57.564236,55.10453,48.542595,45.374035,41.515358,40.30598,46.502167,43.655987,45.52928,61.511265,34.49753,54.474155,48.152077,43.07162,44.19979,45.83093,48.61641,42.778797,59.33167,44.835587,37.95928,39.1036
23,1979-06-17,80.59162,54.644867,74.96875,67.510895,75.62438,57.33481,56.52775,68.51793,56.03766,61.539345,71.898926,54.886112,81.30119,72.16739,82.984985,66.914,76.89201,72.57774,71.65048,63.63043,60.752914,61.0423,66.60774,62.29714,64.3925,80.8029,55.32307,72.712074,66.78331,59.93883,64.94997,65.528305,67.54546,59.83746,77.28161,63.263535,56.223827,57.74685
24,1979-06-24,82.35877,56.37501,73.267746,71.319046,76.58935,62.588165,61.186653,73.022766,57.835644,68.03138,70.33237,57.865875,81.62099,75.689545,83.3043,68.47214,80.534485,76.57785,72.428734,70.71091,64.91513,62.971325,70.0763,68.033424,70.050354,82.603645,57.963703,77.07342,71.72501,68.87236,67.54603,71.10065,72.00836,67.25936,80.52762,69.997375,60.88071,62.803284
25,1979-07-01,83.82288,73.73223,82.20735,78.624886,82.18294,75.06798,74.166916,79.55516,75.3788,77.95854,80.42108,73.29846,84.61111,81.04756,83.67413,77.98829,83.4438,80.7586,80.54418,78.310036,75.89815,76.256874,78.59877,76.93603,78.246086,84.32014,73.443405,81.80547,78.73311,77.838455,76.754105,78.86816,78.629265,77.38445,82.550606,77.6662,74.21337,74.88225
26,1979-07-08,80.32138,61.649883,69.36575,68.999565,70.98914,62.549366,61.368984,72.689835,62.959923,66.81295,68.88086,60.52197,77.24896,71.96368,82.21273,66.93395,76.34776,75.27516,69.42496,69.16528,63.06974,63.087128,73.169174,65.29,70.60675,79.27323,60.75353,74.34822,69.65267,65.83751,65.3597,70.857544,72.56785,64.665764,78.0565,66.90808,61.61173,61.89521
27,1979-07-15,87.850105,76.816505,83.26739,84.2699,84.26946,79.18114,78.542496,85.2148,76.96576,83.86062,83.12598,78.90281,86.31914,85.37729,88.44487,82.35557,86.57328,85.59053,84.248276,83.92543,80.55687,78.54435,85.148094,82.54348,84.737885,87.327385,77.494804,85.75519,84.65378,82.85888,81.93797,84.678764,85.05067,82.55843,86.633545,83.65731,78.13454,79.21092
28,1979-07-22,92.37773,86.34817,89.162094,90.477295,89.89083,87.62195,86.8743,92.095,86.08132,91.167725,89.007515,85.345695,90.74199,90.80709,92.72824,89.31229,91.771904,91.96595,90.34968,91.063545,87.97485,87.29697,92.14206,89.18882,90.77348,91.750694,86.206184,91.73881,91.33498,89.82298,88.640625,90.593056,90.96113,90.22886,91.86426,90.52428,87.253,87.720985
29,1979-07-29,93.36621,85.28213,86.44055,88.691734,87.92507,86.830605,86.447945,91.18134,84.67375,90.53398,86.2753,85.41666,90.6469,88.700775,94.08306,86.657936,91.24246,92.23918,87.414604,90.9725,87.354965,85.51476,92.5244,88.31019,91.585915,91.75693,85.76898,90.35748,90.190094,89.19873,87.29264,91.57256,92.132996,89.657265,93.21047,89.46575,86.5503,87.23851
30,1979-08-05,81.18077,76.19012,79.816475,78.59858,79.648224,75.922005,75.62697,78.02143,76.53664,78.56087,80.764336,77.89874,80.81821,79.82769,81.70534,78.08677,80.37598,79.03679,79.97309,77.63675,77.14214,77.2463,80.53167,77.30935,79.11192,81.09663,76.556725,79.34835,77.87617,77.10329,77.506996,78.296196,78.5299,77.6455,80.564514,77.46617,75.74995,76.566284
31,1979-08-12,80.360825,77.84321,79.96353,78.52939,78.59173,76.49628,76.43169,78.194565,78.03018,77.267,81.77954,78.77871,78.84484,78.51376,81.14113,79.08988,79.50005,78.38028,80.42824,77.51362,77.51944,78.6305,78.27916,77.47074,77.59172,79.619316,77.88861,78.80796,77.94789,77.04182,77.991295,77.30575,77.53336,77.049614,79.50004,77.61813,76.28783,77.085884
32,1979-08-19,85.7592,83.63967,87.140274,86.78873,87.13012,83.22628,82.609726,86.213196,85.050095,85.12544,88.330505,81.63438,86.430016,86.98979,85.07824,87.16068,86.82649,86.206154,88.15992,85.67272,84.94127,86.142525,88.95568,84.94443,87.19725,85.88644,82.6672,86.429016,86.30396,84.14879,85.73037,86.22549,86.39181,84.18129,85.814384,85.587006,83.645134,84.33075
33,1979-08-26,84.81365,70.07935,75.44537,76.97629,77.641136,71.45172,70.36919,80.53798,70.96848,76.852455,74.4113,68.56427,81.72251,78.446075,85.97252,74.88792,81.65555,83.48857,75.99516,78.68806,73.100555,72.379875,83.72836,74.18378,81.42474,83.28675,69.62543,80.31298,78.09242,74.36778,74.53108,80.86031,82.62211,74.53948,84.877594,75.7016,70.98825,71.80563
34,1979-09-02,86.235016,69.05481,76.500755,78.766014,79.705246,72.52877,71.13533,83.98834,69.027145,81.58066,74.7333,67.33685,84.50577,81.71754,86.441376,74.228455,85.63294,85.56284,76.866806,82.17164,74.004654,70.93963,85.894356,76.226555,85.13258,85.74752,69.910904,84.39749,81.21827,77.01543,74.420906,84.51543,85.46927,77.61278,85.697914,78.608986,72.30532,73.12019
35,1979-09-09,88.38909,65.98327,80.9089,79.17297,81.559944,68.919586,65.42082,83.0715,68.21426,78.136055,78.7176,60.83661,86.274895,82.01895,88.85346,76.46266,85.77319,85.4229,79.620895,80.68091,73.046234,71.86259,82.86742,74.80969,82.29885,87.42538,64.673744,83.86619,80.914215,74.51738,75.55885,82.29902,83.31888,73.87124,87.20377,77.65593,68.97857,70.50208
36,1979-09-16,85.997955,68.55097,79.62556,80.55821,80.98392,73.0496,71.885315,83.23342,68.72276,83.79961,77.30595,66.31439,84.70031,82.23591,86.49599,76.80883,84.212364,84.208145,79.355225,83.59881,75.55298,72.2869,85.214355,77.999825,84.98192,85.50959,70.032776,83.00591,81.87436,80.1632,76.46739,85.150566,84.13387,80.85081,84.28317,81.26807,72.148186,73.682655
37,1979-09-23,77.81632,62.119396,72.51046,73.52927,72.74096,67.17704,66.53069,74.936554,61.86018,73.87376,71.877045,61.08923,76.219864,74.648895,77.57258,70.33563,76.741684,75.466354,72.6401,74.223564,69.59821,67.4163,76.49023,71.002785,75.83762,77.44705,64.08015,75.13065,73.233154,70.522255,71.35924,76.03076,75.40983,71.23138,75.01834,72.62006,66.05448,67.29492
38,1979-09-30,75.60768,73.131386,78.57242,74.973114,76.94145,72.55122,70.98061,74.053734,74.27705,72.68922,79.17342,69.64498,78.71239,76.05162,76.11122,75.21587,76.75256,74.03032,76.921455,73.6559,74.968506,75.9271,74.56279,74.44485,73.0672,77.67455,72.96883,75.359375,73.62849,72.388565,75.50237,73.95424,73.72201,70.869774,73.08096,74.00844,73.42753,74.13763
39,1979-10-07,87.90236,71.74103,80.52649,82.05277,82.853584,78.20443,76.905304,85.14049,71.04104,83.800705,78.642944,67.81161,86.83456,83.543076,88.81644,79.089516,86.19899,85.873634,80.641815,84.099625,79.62039,74.84568,86.6143,81.68883,85.93746,87.51398,73.44211,84.987785,83.59494,82.08545,79.5722,85.437706,85.1735,82.362495,86.67837,82.796875,77.968544,79.178505
40,1979-10-14,85.53816,69.566765,79.941246,79.13807,81.80018,77.64007,77.35428,81.25998,65.885475,80.9966,77.57403,67.85815,85.58175,81.85385,85.96881,78.02323,84.0941,82.669334,81.010956,79.91368,77.92492,73.77146,84.32555,78.20987,82.639786,85.55901,74.61037,82.108,79.10799,78.76623,77.5525,82.07796,82.323395,79.661674,83.96441,78.547455,77.03782,77.31139
41,1979-10-21,68.17317,58.472424,66.98256,63.453762,66.11737,60.042522,57.93022,67.72291,55.65573,67.17045,65.46083,52.625355,68.73086,67.458405,66.54835,61.191074,69.24966,68.73901,67.00912,66.13286,59.33291,59.911503,72.61738,61.756207,69.82991,69.116745,61.307537,67.73591,64.28888,62.709267,59.51288,69.63251,69.78167,63.977325,69.257065,63.348957,58.221653,58.96984
42,1979-10-28,67.014336,54.856655,62.769848,59.662132,62.90362,56.989258,55.380985,62.604637,51.773937,59.384457,60.69936,49.89876,66.849686,63.493744,66.47809,57.676758,66.22758,65.233055,63.109848,60.740433,55.627884,56.12395,68.32333,58.04727,64.65499,67.20171,56.988014,63.77225,59.74582,57.683765,56.09719,64.291664,65.64795,56.93269,66.82564,58.90395,55.008602,55.544178
43,1979-11-04,61.19811,58.395565,68.03293,61.42999,64.95776,60.824463,60.451996,62.15479,56.629932,61.556053,68.00877,55.592438,63.025013,64.19851,59.3452,62.742382,62.732986,63.15077,68.16984,60.125076,60.39832,61.301258,67.54147,61.19553,62.661682,61.08469,61.75413,61.725086,60.334984,59.6327,60.37617,61.577484,63.425884,59.676235,63.438976,60.456497,59.105946,60.144726
44,1979-11-11,60.18227,52.254765,59.525234,54.571358,56.749115,52.237377,51.58587,55.388935,50.380104,53.164272,57.389458,46.088577,58.810436,56.80797,60.657402,53.8853,58.08648,59.66861,58.608955,53.449516,51.704796,53.804386,62.213264,53.321636,56.979534,58.541485,53.93761,55.59196,53.184902,51.5514,52.74484,57.083706,59.68336,50.674244,61.49558,53.419624,50.294712,51.62772
45,1979-11-18,61.206863,46.35786,55.001423,50.15546,54.50937,45.38446,44.159153,58.84908,45.55527,55.523502,52.6459,39.847675,59.06785,55.56994,60.830437,47.235256,59.86772,61.81189,54.85475,55.25507,44.605164,47.904064,63.639404,48.02776,60.106964,59.59677,46.705593,57.71605,53.49506,49.97807,44.871136,60.017273,60.96042,51.90769,63.543335,50.949387,42.772015,44.521038
46,1979-11-25,64.30461,53.917603,57.328262,53.560738,55.494446,53.258717,52.79574,55.19006,52.46881,52.89976,56.378185,50.69997,60.829334,55.755875,64.00319,53.924595,59.80887,60.22008,56.90703,52.39725,51.684204,53.943665,60.88429,52.445618,56.36563,62.1955,55.148277,56.539623,52.37648,51.344055,52.011353,56.132374,58.816498,51.74175,63.691498,52.17327,52.11026,52.374767
47,1979-12-02,78.35716,76.00431,76.03253,75.04015,75.08344,75.973045,75.87193,74.75072,74.960655,76.04151,76.386955,76.70877,76.25687,75.60416,79.443985,75.378136,75.79369,76.542435,76.67268,74.39139,74.78834,75.39541,78.70912,75.007645,76.5212,76.71505,77.041794,75.161736,74.208244,74.8326,74.109,75.9969,76.43627,76.020966,77.74546,74.45296,75.670105,75.45484
48,1979-12-09,63.2357,61.24107,65.58878,61.31095,62.65222,58.88048,58.554565,60.39258,62.24749,58.528755,67.86708,60.275257,64.53955,61.928658,64.62149,62.289246,61.84858,61.75254,65.05634,59.264122,59.73558,62.126904,65.56093,59.669266,62.33615,62.859695,61.31543,60.849,59.891357,58.599445,59.57291,60.936123,62.758068,58.389313,63.1828,59.624718,58.580376,58.759853
49,1979-12-16,57.483074,57.432827,59.12223,52.33533,55.12709,52.643276,52.476967,50.89415,57.68815,52.117645,61.40198,55.484013,59.264782,53.5952,58.370003,54.90599,55.310726,51.058044,58.188393,49.986473,52.905014,56.97235,59.69067,52.201893,53.331078,57.611004,57.43807,52.27237,50.620834,50.848988,51.79334,50.71103,50.90938,51.742786,55.230305,51.3775,52.515717,52.630604
50,1979-12-23,54.89955,54.444767,57.739254,53.82528,53.987156,52.675915,52.899357,52.084522,54.142494,52.432526,59.36462,54.09818,56.50243,54.1044,57.357506,54.75771,53.36952,51.41732,57.264698,51.290752,52.04019,55.008083,58.03653,52.86276,53.887245,55.17435,55.970436,52.532288,52.275925,52.080383,51.920704,52.35046,52.533447,52.38617,53.145847,52.753345,51.68319,51.67705
51,1979-12-30,58.340584,55.117844,61.619797,58.664856,57.716404,57.661205,58.087288,58.519173,55.35357,61.32878,62.133934,53.30925,59.56975,58.82805,58.006756,58.82854,58.548714,57.389366,61.49682,59.19888,57.070026,58.42804,67.10864,58.399532,61.93111,59.12393,56.410187,58.17513,58.473152,59.412376,56.648113,59.529114,59.24419,60.412205,58.368587,59.24701,55.994934,56.475822
52,1980-01-06,59.97715,69.53864,71.98073,65.36296,66.20761,67.17078,66.90381,63.114464,69.8203,65.93186,74.24677,68.6615,63.724113,65.493546,60.037384,68.59988,62.69316,61.551056,70.94176,63.909542,66.98116,69.885765,67.29778,66.287964,64.94356,61.34079,70.01361,62.39239,63.767784,65.70237,66.25558,64.89243,63.147503,66.240486,60.16736,65.40286,66.856926,66.81145
53,1980-01-13,55.68297,54.59392,56.920586,54.9556,54.40921,52.40898,52.356026,54.267838,53.593616,54.926323,57.2756,51.904236,57.037895,55.7816,54.823036,54.638103,56.065186,54.230366,57.277622,53.335922,52.26172,55.24829,60.277607,53.367737,55.999245,55.916332,55.500874,54.91789,54.27056,52.95022,52.2033,55.329067,54.55579,53.50838,55.637287,53.947422,51.264473,51.63145
54,1980-01-20,53.159348,52.57608,56.890755,47.58743,50.14716,45.850636,46.127502,46.832912,53.239586,47.07074,59.215706,51.91046,51.988476,49.110725,52.23391,50.484844,50.071312,47.13674,55.006897,44.78656,45.95842,52.67716,51.44397,45.62856,47.61861,51.99554,52.74708,47.765095,46.377293,44.677357,46.636395,46.292507,45.993984,46.289948,51.405743,45.170765,45.380608,45.428947
55,1980-01-27,56.24404,48.74942,53.556664,50.32757,50.33841,49.7115,49.537777,50.423813,47.252567,53.121136,51.37816,45.59923,54.402935,50.942528,55.88536,49.257748,52.594643,51.294353,52.67704,50.187172,47.849228,49.29416,57.373127,49.799133,53.21535,54.60185,50.41814,50.915344,50.016293,50.19758,47.499516,52.269604,51.65228,51.52377,54.38368,50.48834,48.08685,48.334965
56,1980-02-03,49.08511,44.759113,47.12227,44.43271,45.07901,44.553295,45.297142,44.922844,42.6657,48.755363,45.11716,43.86762,48.27822,45.45228,48.676193,43.811523,46.93868,46.129906,46.607132,44.65558,42.758636,43.271763,53.43179,44.36905,48.683495,47.993774,46.737373,45.18762,44.538094,45.081245,42.344887,47.03595,46.20085,47.420925,48.799408,44.695095,42.541943,43.026527
57,1980-02-10,49.056396,47.728542,49.049004,48.27933,46.955128,48.365253,48.70881,47.55397,47.567177,51.635674,48.952393,44.427105,48.983624,48.49665,48.738594,48.055195,48.195766,46.91674,49.300957,47.816284,47.021935,48.48942,55.51166,47.979794,50.61797,48.714336,48.36677,47.725677,47.786537,49.141964,46.415874,49.595425,48.175476,50.71052,48.38614,48.279106,47.134907,47.15981
58,1980-02-17,52.571842,46.52036,54.985195,47.68201,51.430683,44.56955,44.859886,46.508316,45.975708,45.611286,52.721737,43.673634,52.459297,50.47564,50.40219,48.31014,51.282135,47.72842,53.06791,42.546227,43.912827,47.3766,49.11885,44.164288,44.365173,51.337543,48.100666,49.31471,45.93759,42.892944,44.543148,44.105053,43.82625,44.615158,51.09001,43.36477,43.622425,44.040287
59,1980-02-24,57.244064,39.744183,48.050415,43.502144,48.73646,39.951885,40.10022,46.724,37.922253,42.450962,42.126137,37.721836,55.037586,47.818825,56.196793,41.31117,54.227165,50.18994,45.101646,41.81149,38.927017,39.173706,46.21867,40.486088,43.7703,55.76399,41.14473,50.410778,43.72754,40.267162,39.304356,44.615948,44.993973,41.41673,55.50885,41.15229,38.5185,38.87962
60,1980-03-02,50.171482,40.67377,43.862553,45.56472,44.539654,44.898453,44.911194,42.999622,40.318233,45.38198,42.139465,40.20973,47.208027,45.624813,53.691154,43.67796,45.75555,43.332527,44.00079,43.393265,44.168167,41.505016,46.49601,45.628826,43.280445,47.778896,42.425423,45.006058,44.024944,45.886776,44.492947,43.64912,41.307423,45.598083,47.42391,45.27083,43.23318,43.706394
