,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
24,1979-06-24,306.60864,314.6985,309.5094,311.58374,308.74942,314.7408,314.99634,311.2771,314.0267,314.12817,311.05304,314.7321,307.89706,309.33716,307.0498,311.9467,307.27698,307.80853,310.38257,313.23364,313.82715,313.629,312.43213,313.53232,312.2434,307.04004,314.89752,308.5559,311.7351,313.98138,312.8601,312.46362,309.8798,314.004,306.42896,313.20984,314.79224,314.57544
25,1979-07-01,307.40137,309.40372,307.77472,308.80225,308.21793,309.32632,309.5437,308.55408,308.9752,308.4406,307.5135,309.6532,307.89658,308.1294,306.86047,308.59238,307.4834,307.83633,307.96143,308.60547,309.52222,309.21036,308.55753,309.70395,308.06454,307.31754,309.48575,307.60416,308.50977,309.16855,309.27783,308.34814,308.55942,308.67203,307.2225,308.74634,309.86206,310.0791
26,1979-07-08,309.19934,311.07095,310.28076,310.82666,310.4738,311.63354,311.95972,311.03607,310.4593,312.17065,309.5298,311.61087,309.80518,310.66064,308.5155,310.3169,310.0498,310.08365,310.1577,311.4685,311.4099,310.80283,311.88916,311.26108,311.87848,309.494,311.6107,310.53174,311.08093,311.62027,310.854,311.61206,310.85815,312.10425,309.16528,311.2683,311.49683,311.49878
27,1979-07-15,306.4696,309.32895,307.63452,308.094,307.1412,309.3684,309.75903,308.7854,308.86533,309.46362,307.05414,309.14368,306.7132,306.7727,306.71216,307.8042,306.7367,307.28522,307.12524,309.4817,308.96313,308.98145,308.69287,309.04745,308.95746,306.65372,309.40326,307.4222,309.0652,309.1446,308.7102,309.1848,308.2317,309.51944,306.65747,309.00903,309.59985,309.4729
28,1979-07-22,304.5713,306.0538,305.0475,304.64258,305.11362,305.26474,305.49585,303.4472,305.9433,304.287,304.94867,305.6293,305.55707,305.23047,303.56738,305.03052,304.94006,303.4992,305.16406,304.27118,304.8584,305.35,303.5106,304.62158,303.9528,304.57104,306.03766,304.70932,304.0885,304.4457,304.68066,303.85742,303.5228,304.46005,305.08105,304.40436,305.62476,305.33765
29,1979-07-29,304.39355,306.52646,305.9402,306.04468,306.1495,305.88052,306.1714,305.39746,306.5318,305.7954,305.4165,305.9673,305.17847,306.0276,304.1228,306.28067,304.99792,304.6264,305.75073,305.3692,306.4353,307.04208,305.0525,305.80795,305.1109,304.76767,306.01456,305.50513,305.50732,305.45123,306.5193,305.2151,304.62915,305.99008,304.03946,305.82764,305.96265,306.2107
30,1979-08-05,306.89124,307.31577,306.29932,307.08398,307.11246,307.42758,307.43945,307.27075,306.9463,308.39844,305.63342,307.13443,307.70547,307.09375,306.41553,306.923,306.966,307.11514,306.48438,307.57495,307.14453,306.86328,307.8184,307.18628,307.97223,307.00986,307.38947,306.9269,307.23407,307.32388,307.21484,307.6162,307.3912,308.208,306.9751,307.0957,307.51367,307.35938
31,1979-08-12,308.4873,307.2538,307.2583,308.67224,307.94482,308.69418,308.26807,309.5774,307.47427,309.04858,307.06787,307.28662,308.49225,308.30908,308.97412,308.19287,308.4892,309.6071,307.38525,309.58374,308.7766,308.29175,309.22812,308.81308,309.36606,308.48843,307.62216,308.7592,309.22388,309.21295,308.90552,309.72583,309.52466,308.7916,308.6953,308.97583,308.812,308.71802
32,1979-08-19,306.55933,304.7587,303.84723,304.66553,304.77133,305.83878,306.82544,306.20776,303.74652,306.05316,303.22656,305.16135,305.76523,305.33936,307.0559,304.00504,305.5775,305.71118,303.80945,306.20746,304.2284,304.23453,305.3045,304.4331,305.59814,305.95346,305.64047,305.57388,305.0769,305.7397,304.4214,305.95337,305.85962,306.3453,305.93515,304.7622,305.54126,304.89087
33,1979-08-26,306.3629,307.88696,306.89526,307.31763,307.13046,307.91104,307.90454,306.95886,307.5061,307.13123,306.4021,307.44946,306.63696,307.1848,305.8899,307.25674,306.65015,306.5612,306.85864,307.07104,307.99048,307.55557,306.417,307.80103,306.85532,306.27628,307.785,306.92993,307.16797,307.6268,307.86353,306.9104,306.83292,307.46378,306.29712,307.54858,308.03735,308.0686
