,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
29,1979-07-29,297.20068,298.71143,298.67108,298.50293,298.6263,298.73306,298.86523,297.9132,298.86298,298.3872,298.31415,298.45923,298.2211,298.39258,297.32422,298.43164,297.77002,297.4125,298.24744,298.24805,298.85352,298.85767,297.77002,298.75912,297.9712,297.66406,298.6306,297.94595,298.37866,298.85516,298.81836,297.92432,297.95932,298.736,297.0996,298.75256,298.77148,298.79688
30,1979-08-05,298.80884,300.2771,299.6754,300.5879,300.17862,300.84286,300.98022,300.03345,299.84546,300.32892,299.49353,299.94458,299.48257,300.34155,298.32007,300.52402,299.8269,299.48453,300.11816,300.49854,300.5652,300.27515,299.3374,300.69962,299.93842,299.05835,300.5279,300.1267,300.38354,300.86774,300.72827,300.2351,299.66708,300.7242,299.23804,300.62573,300.67944,300.5974
31,1979-08-12,300.4143,299.7369,299.12427,300.2727,300.09073,300.39706,300.42993,300.56128,299.476,300.36084,298.64746,299.2206,300.4488,300.43774,300.06372,299.71445,300.5437,300.1093,299.42114,300.7458,300.39038,299.8069,299.84512,300.51132,300.16226,300.50772,299.76,300.7129,300.58386,300.79385,300.19165,300.2832,300.11523,300.64908,300.06845,300.75287,300.37817,300.44458
32,1979-08-19,299.27716,298.36758,298.01978,298.719,298.8846,298.2919,298.75806,298.92535,297.93964,298.28198,297.41284,298.13437,299.35416,299.16626,299.00708,298.17276,299.24548,298.9378,298.1477,298.54175,298.15356,297.7268,298.57935,298.4143,298.629,299.4423,298.50357,299.30508,298.73413,298.3557,298.35767,298.73462,298.69547,298.27368,299.23666,298.6106,298.17603,298.15063
33,1979-08-26,298.7234,300.17148,299.91754,300.41284,300.14413,300.9235,300.87915,299.44604,299.97134,300.06995,299.62085,299.82837,299.89423,300.36523,298.45923,300.15878,299.26917,298.777,300.09863,299.86987,300.54785,300.28467,299.09903,300.671,299.2929,299.37296,300.41742,299.66788,300.0315,300.4435,300.5808,299.2019,299.01236,300.32886,298.75967,300.52692,300.85376,300.71777
34,1979-09-02,297.63647,300.04068,299.49683,299.4895,299.5992,300.25244,300.33728,298.1604,299.73453,298.14624,298.98853,299.57617,298.48773,299.4065,297.594,299.96494,298.3733,297.90103,299.5901,298.2356,300.05005,300.02652,297.64355,299.7587,298.0315,298.04712,299.77716,298.45532,298.57007,298.794,300.08032,298.219,298.0751,298.43448,297.68643,298.94116,300.2002,300.3357
35,1979-09-09,297.19153,298.4829,297.68396,297.68164,298.21158,299.00522,299.08594,296.9585,298.46112,297.05615,297.35303,298.38986,298.05518,297.80078,297.20947,297.98618,297.4917,297.16486,297.66797,296.57227,298.70947,298.29312,296.65976,298.5983,296.58087,297.7002,298.29083,297.4082,297.08936,298.3078,298.46802,296.46875,296.60806,297.96436,297.24243,297.59503,298.84668,299.0327
36,1979-09-16,296.2483,298.1649,297.06055,297.61865,297.51318,297.78857,297.521,296.87573,297.9505,297.2398,297.08435,297.7756,297.3947,297.5515,295.9109,297.81876,297.0509,296.43686,297.39893,296.9148,297.73486,297.6871,296.15714,297.68832,296.80756,296.83017,297.7339,297.1433,297.45258,297.59717,297.61475,297.0796,296.46133,297.55624,296.29614,297.67834,297.98975,297.91162
37,1979-09-23,296.71094,296.42758,297.4121,298.00977,298.29428,296.11197,295.82715,295.18408,296.8699,294.4121,296.6007,296.11157,297.79688,298.24414,297.1604,297.01694,296.36377,295.67383,297.23926,295.03125,296.5537,296.82944,294.02344,297.1797,295.0293,296.16666,295.81796,295.69467,295.61133,296.3453,297.42383,295.07617,294.81705,294.8203,296.7168,296.6831,296.11914,296.37695
38,1979-09-30,296.66675,297.4851,297.1123,297.78174,297.79575,296.85898,297.06958,296.0359,297.0976,295.2024,296.67438,296.8606,297.1408,297.66064,296.61157,297.27798,296.4986,295.64655,297.50635,295.4192,297.18152,297.13022,294.14105,297.1057,295.38702,296.288,296.94208,296.2242,295.92505,296.6983,297.7788,295.63892,295.16504,296.15323,296.16104,296.58618,296.47485,296.36157
39,1979-10-07,295.9641,293.65024,294.24072,295.29614,295.68173,292.88828,292.97388,295.44727,293.425,294.9198,293.36353,293.54504,296.14346,296.1643,295.89136,294.13174,295.7611,295.70493,294.4944,295.35205,293.1565,293.5341,295.71228,293.79385,296.10864,295.29794,293.4494,295.9327,295.50488,294.5057,294.07446,295.9143,295.90234,294.2462,296.11874,294.66284,292.4729,292.52954
40,1979-10-14,293.94775,294.32788,294.10522,295.27307,295.07764,293.80786,293.64966,294.438,294.24274,294.22058,293.51672,293.9222,294.38788,294.9834,293.83496,294.4309,294.1753,293.9916,294.35278,294.2881,293.8557,293.94223,292.7266,294.46085,293.57147,293.97852,293.6648,294.3776,294.9085,294.49838,294.47778,293.7793,293.35416,294.30093,293.8125,294.78265,294.1184,294.261
41,1979-10-21,292.75372,291.8134,292.3152,293.4768,293.5211,291.66757,291.55933,293.11975,291.861,293.32446,291.06177,292.09854,293.8414,293.89087,292.2788,291.92734,293.3208,292.35687,292.2229,293.33313,291.53735,291.67343,292.05444,292.42734,293.04755,293.41055,291.2894,293.44116,293.43225,293.25766,292.2268,293.47192,292.6643,293.35898,293.0673,293.20972,291.25806,291.27563
42,1979-10-28,292.98755,293.50748,292.06323,292.9602,293.36646,292.469,292.47876,292.64722,293.60544,291.9839,292.25342,293.33188,293.78363,293.72095,292.90137,292.4807,293.44904,292.368,292.86743,293.09644,292.56567,292.74893,291.3452,292.6692,292.47836,293.42667,292.81363,293.50302,292.69116,292.635,292.69263,292.6548,292.11548,291.9973,292.58163,293.16998,292.97974,292.81763
43,1979-11-04,291.91803,292.36978,292.94464,294.03418,293.8312,292.2521,291.8977,293.0822,292.5224,292.45386,292.27893,292.7269,293.1972,293.9016,291.72485,293.312,292.91406,292.03305,292.82227,293.12653,292.77466,292.5812,291.03955,293.35733,292.4913,292.72827,291.9375,293.17505,293.88336,293.45416,293.47363,292.76343,292.10855,293.00107,291.8047,293.75824,292.27075,292.5598
